District,Alert_Level,Number_of_Reports
Southern,2,111
Canterbury,2,293
Tasman,2,63
Wellington,2,304
Central,2,150
Eastern,2,84
Bay Of Plenty,2,157
Waikato,2,135
Counties/Manukau,2,192
Auckland City,2,409
Waitemata,2,251
Northland,2,63
Southern,3,512
Canterbury,3,1074
Tasman,3,289
Wellington,3,906
Central,3,546
Eastern,3,326
Bay Of Plenty,3,674
Waikato,3,652
Counties/Manukau,3,747
Auckland City,3,1013
Waitemata,3,983
Northland,3,215
Outside New Zealand (District),4,44
Southern,4,3577
Canterbury,4,6616
Tasman,4,2164
Wellington,4,5640
Central,4,4166
Eastern,4,2231
Bay Of Plenty,4,4752
Waikato,4,4560
Counties/Manukau,4,5399
Auckland City,4,5877
Waitemata,4,6345
Northland,4,2116
